"โรงพยาบาลสัตว์ทองหล่อ
รายงานจำนวนผู้ป่วย (ตัว) และรายรับแผนก X-ray",,,,,,,,
ตั้งแต่วันที่ 12 มิ.ย. 68 ถึงวันที่ 12 มิ.ย. 68,,,,,,,,
ประเภทการรับบริการ: ผู้ป่วยทั้งหมด,,,,,สาขาของโรงพยาบาล: ทั้งหมด,,,
ประเภทการตรวจ X-ray: ทั้งหมด,,,,,ประเภทสัตว์: ทั้งหมด,,,
สาขา : สาขาระยอง,,,,,,,,
วันที่,12/06/2025,,,,,,,
ประเภท,X-RAY,,,,,,,
VN/AN,HN,Name,Owner,Order,วันที่ Execute,เวลา Execute,ผู้กด Execute,Price
IRY-68-002865,CM-285962-02,Pet_Test_2 (FE) / คุณIT_Test.... ทดสอบ_IT,คุณ IT_Test.... ทดสอบ_IT,ABDOMEN-DV (ท้อง),2025-06-12,10:33,นายณัฐชัย อุดมพิบูลย์(IT), 660.00
รวม,1,   ตัว,,,ราคา,,, 660.00 
รวมทั้งหมด,1,   ตัว,,,ราคาทั้งหมด,,,660.00










	
